排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
122,Arma 3 Ultimate Edition,144.63,"特别好评,160,228 篇用户的捆绑包游戏评测中有 89% 为好评。",https://store.steampowered.com/bundle/11256/Arma_3_Ultimate_Edition/?snr=1_7_7_globaltopsellers_150_5
123,《Madden NFL 22》,161.20,"褒贬不一,1,333 篇用户的游戏评测中有 46% 为好评。",https://store.steampowered.com/app/1519350/Madden_NFL_22/?snr=1_7_7_globaltopsellers_150_5
124,Pavlov VR,48.00,"特别好评,24,758 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/555160/Pavlov_VR/?snr=1_7_7_globaltopsellers_150_5
125,DEVOUR,17.00,"特别好评,16,010 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_globaltopsellers_150_5
126,Mount & Blade II: Bannerlord,223.00,"特别好评,135,008 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_globaltopsellers_150_6
127,Devil May Cry 5,130.68,"特别好评,41,072 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/601150/Devil_May_Cry_5/?snr=1_7_7_globaltopsellers_150_6
128,MechWarrior 5: Mercenaries: JumpShip Edition,151.20,"特别好评,3,019 篇用户的捆绑包游戏评测中有 81% 为好评。",https://store.steampowered.com/bundle/22567/MechWarrior_5_Mercenaries_JumpShip_Edition/?snr=1_7_7_globaltopsellers_150_6
129,The Riftbreaker 银河破裂者, 89.00,"特别好评,5,244 篇用户的游戏评测中有 91% 为好评。",https://store.steampowered.com/app/780310/The_Riftbreaker/?snr=1_7_7_globaltopsellers_150_6
130,Sid Meier's Civilization VI : Platinum Edition,86.45,"特别好评,138,706 篇用户的捆绑包游戏评测中有 81% 为好评。",https://store.steampowered.com/bundle/12218/Sid_Meiers_Civilization_VI__Platinum_Edition/?snr=1_7_7_globaltopsellers_150_6
131,Outer Wilds - Archaeologist Edition,85.12,"好评如潮,26,968 篇用户的捆绑包游戏评测中有 95% 为好评。",https://store.steampowered.com/bundle/22795/Outer_Wilds__Archaeologist_Edition/?snr=1_7_7_globaltopsellers_150_6
132,Borderlands 3 Ultimate Edition,182.78,"特别好评,68,665 篇用户的捆绑包游戏评测中有 83% 为好评。",https://store.steampowered.com/bundle/16675/Borderlands_3_Ultimate_Edition/?snr=1_7_7_globaltopsellers_150_6
133,Subnautica: Below Zero,79.20,"特别好评,50,933 篇用户的游戏评测中有 91% 为好评。",https://store.steampowered.com/app/848450/Subnautica_Below_Zero/?snr=1_7_7_globaltopsellers_150_6
134,theHunter: Call of the Wild?,18.90,"特别好评,74,127 篇用户的游戏评测中有 86% 为好评。",https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_globaltopsellers_150_6
135,Metro Exodus,59.60,"特别好评,55,265 篇用户的游戏评测中有 88% 为好评。",https://store.steampowered.com/app/412020/Metro_Exodus/?snr=1_7_7_globaltopsellers_150_6
136,小小梦魇2,99.16,"好评如潮,12,220 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/860510/2/?snr=1_7_7_globaltopsellers_150_6
137,CODE VEIN,67.00,"特别好评,26,386 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_globaltopsellers_150_6
138,喋血复仇, 298.00,"多半好评,11,315 篇用户的游戏评测中有 77% 为好评。",https://store.steampowered.com/app/924970/_/?snr=1_7_7_globaltopsellers_150_6
139,Stellaris,28.00,"特别好评,81,573 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_globaltopsellers_150_6
